threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,4.06,0,0,9.0538,9.0538,1,8,4.06,1.1368683772161603e-13,-16.240000000029113,-44.66000000002941,-77.14000000001442,0,-9.0538,-9.053799999999887,-9.053799999999887,-9.053799999999887,-9.053799999999887,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,0,0,0,0
1,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
2,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
3,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
4,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
5,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
6,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
7,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
8,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
9,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
10,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
11,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
12,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
13,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
14,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
15,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
16,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
17,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
18,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
19,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
20,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.54000000000815,-77.54000000000815,-77.54000000000815,-77.54000000000815
