threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1.640000000000001,163,99.39024390243897,3.575199999999998,3.575199999999998,0.39,52,1.640000000000001,-5.675246939063072e-10,-2295.9999999995052,-7052.000000001455,-11644.000000000146,81.5,-166.5752,-85.07520000056752,-85.07520000056752,-85.07520000056752,-85.07520000056752,81.49999999943248,81.49999999943248,81.49999999943248,81.49999999943248,0,0,0,0
1,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
2,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
3,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
4,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
5,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
6,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
7,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
8,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
9,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
10,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
11,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
12,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
13,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
14,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
15,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
16,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
17,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
18,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
19,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
20,1.640000000000001,163,99.39024390243897,0,3.575199999999998,0.39,0,0,0,0,0,0,0,-163,0,0,0,0,163,163,163,163,23589,23589,23589,23589
