threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,9.259999999999994,-35,-3.7796976241900673,32.780400000000014,32.780400000000014,1,46,9.259999999999994,-9.022187441587448e-10,-2777.999999988766,-9259.999999994849,-15742.000000000116,-17.5,2.2195999999999856,-15.280400000902233,-15.280400000902233,-15.280400000902233,-15.280400000902233,-17.50000000090222,-17.50000000090222,-17.50000000090222,-17.50000000090222,0,0,0,0
1,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
2,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
3,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
4,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
5,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
6,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
7,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
8,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
9,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
10,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
11,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
12,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
13,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
14,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
15,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
16,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
17,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
18,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
19,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
20,9.259999999999994,-35,-3.7796976241900673,0,32.780400000000014,1,0,0,0,0,0,0,0,35,0,0,0,0,-35,-35,-35,-35,56968,56968,56968,56968
