threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,49.61999999999999,6.552852889348928,0.1320607192533037,165.73080000000002,165.73080000000002,17.250000000000004,149,49.61999999999999,-4.1382008930668235e-11,-148.86000000006266,-396.960000000465,-694.6800000002675,3.276426444674464,-172.28365288934896,-169.00722644471585,-169.00722644471585,-169.00722644471585,-169.00722644471585,3.2764264446331026,3.2764264446331026,3.2764264446331026,3.2764264446331026,0,0,0,0
1,49.61999999999999,6.552852889348928,0.1320607192533037,106.98020000000001,165.73080000000002,17.250000000000004,22,32.03,2041.0999999999185,1945.009999999951,1784.859999999433,1592.679999999731,2.114952418841659,-113.53305288934894,1932.0048475810768,1835.9148475811094,1675.7648475805913,1483.5848475808893,2045.5379004704257,1949.4479004704583,1789.2979004699403,1597.1179004702383,-5.7999999999995,-5.8299999999994725,-5.879999999999654,-5.9399999999996
2,49.61999999999999,6.552852889348928,0.1320607192533037,79.32499999999999,165.73080000000002,17.250000000000004,10,23.75,4841.4199999999255,4770.169999999867,4651.41999999946,4508.919999999867,1.5682210411329816,-85.87785288934892,4760.526778958792,4689.276778958734,4570.526778958327,4428.026778958734,4846.404631848141,4775.154631848083,4656.404631847676,4513.904631848083,-64.0800000000163,-69.69000000000233,-79.03999999997905,-90.26000000000931
3,49.61999999999999,6.552852889348928,0.1320607192533037,47.6284,165.73080000000002,17.250000000000004,4,14.26,3005.070000000065,2962.2900000001537,2890.9899999999907,2805.4300000001094,0.9415929282760555,-54.181252889348926,2956.5000070717892,2913.7200070718777,2842.4200070717147,2756.8600070718335,3010.681259961138,2967.9012599612265,2896.6012599610635,2811.0412599611823,-84.92999999999302,-93.80999999999767,-108.61000000004424,-126.36999999999534
4,49.61999999999999,6.552852889348928,0.1320607192533037,57.548199999999994,165.73080000000002,17.250000000000004,4,17.23,3985.2899999998044,3933.599999999744,3847.4499999994878,3744.069999999716,1.1377030963672115,-64.10105288934892,3926.604096903437,3874.9140969033765,3788.7640969031204,3685.3840969033486,3990.705149792786,3939.0151497927254,3852.8651497924693,3749.4851497926975,-5.7999999999995,-5.8299999999994725,-5.879999999999654,-5.9399999999996
5,49.61999999999999,6.552852889348928,0.1320607192533037,57.548199999999994,165.73080000000002,17.250000000000004,3,17.229999999999997,6852.979999999632,6801.289999999921,6715.139999999781,6611.7599999997765,1.1377030963672112,-64.10105288934892,6794.294096903264,6742.604096903553,6656.454096903413,6553.074096903409,6858.395149792614,6806.705149792902,6720.555149792763,6617.175149792758,-5.7999999999995,-5.8299999999994725,-5.879999999999654,-5.9399999999996
6,49.61999999999999,6.552852889348928,0.1320607192533037,44.05459999999999,165.73080000000002,17.250000000000004,2,13.189999999999998,5312.719999999623,5273.149999999907,5207.199999999488,5128.059999999474,0.8709404434755378,-50.60745288934892,5267.794459556147,5228.224459556431,5162.274459556012,5083.134459555998,5318.401912445495,5278.831912445779,5212.88191244536,5133.741912445346,681.059999999823,668.9699999998556,648.8199999998324,624.6399999998976
7,49.61999999999999,6.552852889348928,0.1320607192533037,51.268999999999984,165.73080000000002,17.250000000000004,2,15.349999999999996,9542.96999999904,9496.919999999227,9420.169999999227,9328.069999998901,1.0135660202691057,-57.82185288934891,9490.687433978772,9444.637433978958,9367.887433978958,9275.787433978632,9548.50928686812,9502.459286868307,9425.709286868307,9333.60928686798,-64.0800000000163,-69.69000000000233,-79.03999999997905,-90.26000000000931
8,49.61999999999999,6.552852889348928,0.1320607192533037,57.54819999999999,165.73080000000002,17.250000000000004,2,17.229999999999997,9542.969999999274,9491.27999999933,9405.129999999423,9301.749999999069,1.1377030963672112,-64.10105288934892,9484.284096902908,9432.594096902963,9346.444096903057,9243.064096902703,9548.385149792257,9496.695149792313,9410.545149792406,9307.165149792052,-5.7999999999995,-5.8299999999994725,-5.879999999999654,-5.9399999999996
9,49.61999999999999,6.552852889348928,0.1320607192533037,31.596400000000003,165.73080000000002,17.250000000000004,1,9.46,5912.140000000363,5883.760000000242,5836.460000000196,5779.700000000186,0.6246472020681266,-38.14925288934893,5879.918952798294,5851.538952798173,5804.238952798127,5747.4789527981175,5918.068205687643,5889.688205687522,5842.388205687475,5785.628205687466,3611.5399999995716,3588.2599999997765,3549.45999999973,3502.899999999674
10,49.61999999999999,6.552852889348928,0.1320607192533037,36.305800000000005,165.73080000000002,17.250000000000004,1,10.870000000000001,5912.140000000363,5879.530000000261,5825.180000000168,5759.960000000196,0.7177500091417057,-42.85865288934893,5875.116449991221,5842.506449991119,5788.1564499910255,5722.936449991053,5917.97510288057,5885.365102880468,5831.015102880375,5765.795102880403,2393.299999999581,2374.249999999767,2342.499999999767,2304.399999999674
11,49.61999999999999,6.552852889348928,0.1320607192533037,37.30780000000001,165.73080000000002,17.250000000000004,1,11.170000000000002,6118.670000000391,6085.160000000382,6029.310000000289,5962.290000000503,0.7375591170297013,-43.860652889348934,6080.624640883362,6047.114640883353,5991.26464088326,5924.244640883474,6124.485293772711,6090.975293772702,6035.1252937726085,5968.105293772823,2139.7999999998137,2121.6499999997905,2091.3999999997905,2055.099999999744
12,49.61999999999999,6.552852889348928,0.1320607192533037,44.0546,165.73080000000002,17.250000000000004,1,13.190000000000001,7611.589999999851,7572.020000000019,7506.069999999832,7426.929999999702,0.870940443475538,-50.60745288934893,7566.664459556375,7527.0944595565425,7461.144459556356,7382.004459556226,7617.2719124457235,7577.701912445891,7511.751912445705,7432.6119124455745,681.059999999823,668.9699999998556,648.8199999998324,624.6399999998976
