threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,16.259999999999994,-1.7046165206666726,-0.1048349643706441,53.82060000000001,53.82060000000001,1,62,16.259999999999994,9.094947017729282e-13,-48.77999999998974,-130.08000000013476,-227.64000000000806,-0.8523082603333363,-52.11598347933334,-52.968291739665766,-52.968291739665766,-52.968291739665766,-52.968291739665766,-0.8523082603324283,-0.8523082603324283,-0.8523082603324283,-0.8523082603324283,0,0,0,0
1,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
2,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
3,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
4,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
5,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
6,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
7,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
8,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
9,16.259999999999994,-1.7046165206666726,-0.1048349643706441,0,53.82060000000001,1,0,0,0,0,0,0,0,1.7046165206666726,0,0,0,0,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-1.7046165206666726,-300.62999999999374,-300.62999999999374,-300.62999999999374,-300.62999999999374
