threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,4.339999999999993,0,0,14.582399999999994,14.582399999999994,1,38,4.339999999999993,-5.684341886080801e-13,-8.680000000014957,-21.699999999999704,-39.060000000015975,0,-14.582399999999994,-14.582400000000563,-14.582400000000563,-14.582400000000563,-14.582400000000563,-5.684341886080801e-13,-5.684341886080801e-13,-5.684341886080801e-13,-5.684341886080801e-13,0,0,0,0
1,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
2,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
3,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
4,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
5,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
6,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
7,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
8,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
9,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
10,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
11,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
12,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
13,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
14,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
15,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
16,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
17,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
18,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
19,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
20,4.339999999999993,0,0,0,14.582399999999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.55000000000052,102.55000000000052,102.55000000000052,102.55000000000052
