threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,223.05000000000047,-614.3673411155025,-2.754392921387587,738.2954999999988,738.2954999999988,32.919999999999995,327,223.05000000000047,2.0577317627612501e-10,-669.1499999995478,-2007.4500000007563,-3568.8000000011893,-307.18367055775127,-123.92815888449627,-431.11182944204177,-431.11182944204177,-431.11182944204177,-431.11182944204177,-307.1836705575455,-307.1836705575455,-307.1836705575455,-307.1836705575455,0,0,0,0
1,223.05000000000047,-614.3673411155025,-2.754392921387587,542.2772999999999,738.2954999999988,32.919999999999995,74,163.82999999999998,2555.2199999997974,2063.730000000185,1080.7499999991996,-66.0600000009581,-225.62609615546415,72.09004111550269,2238.5687961552617,1747.0787961556496,764.0987961546639,-382.7112038454938,2166.478755039759,1674.9887550401468,692.0087550391612,-454.8012449609965,15.24999999999909,15.069999999999709,14.709999999999127,14.289999999999054
2,223.05000000000047,-614.3673411155025,-2.754392921387587,463.1683,738.2954999999988,32.919999999999995,38,139.93,1326.0499999999593,906.2600000000384,66.67999999891617,-912.8300000005984,-192.71110074488251,151.19904111550255,1055.5928007448417,635.8028007449209,-203.7771992562013,-1183.287199255716,904.3937596293392,484.60375962941833,-354.97624037170385,-1334.4862403712184,-39.46999999998661,-42.529999999998836,-48.65000000000873,-55.7899999999936
3,223.05000000000047,-614.3673411155025,-2.754392921387587,337.8517,738.2954999999988,32.919999999999995,19,102.07,-64.60000000009313,-370.8100000000559,-983.2300000009127,-1697.7200000007288,-140.5704427430155,276.51564111550255,-261.88125725707766,-568.0912572570403,-1180.5112572578971,-1895.0012572577132,-538.3968983725802,-844.6068983725429,-1457.0268983733997,-2171.5168983732156,-352.10999999988417,-354.92999999989115,-360.56999999989057,-367.1499999998923
4,223.05000000000047,-614.3673411155025,-2.754392921387587,348.80780000000004,738.2954999999988,32.919999999999995,17,105.38000000000001,2295.179999999935,1979.0400000001537,1346.7599999992526,609.0999999993364,-145.12896302791196,265.5595411155025,2091.501163027847,1775.3611630280657,1143.0811630271646,405.4211630272483,1825.9416219123443,1509.8016219125632,877.5216219116621,139.86162191174583,-1107.270000000004,-1111.3800000000047,-1119.6000000000058,-1129.1900000000023
5,223.05000000000047,-614.3673411155025,-2.754392921387587,300.7135,738.2954999999988,32.919999999999995,12,90.84999999999998,-436.6199999997043,-709.1699999994598,-1254.2700000003097,-1890.220000000205,-125.1182984540311,313.65384111550253,-612.2152015456733,-884.7652015454288,-1429.8652015462785,-2065.8152015461737,-925.8690426611759,-1198.4190426609314,-1743.519042661781,-2379.469042661676,-352.10999999988417,-354.92999999989115,-360.56999999989057,-367.1499999998923
6,223.05000000000047,-614.3673411155025,-2.754392921387587,330.3711,738.2954999999988,32.919999999999995,10,99.80999999999999,6290.319999999949,5990.890000000014,5392.029999999446,4693.3599999992875,-137.4579787418475,283.9962411155025,6097.406878741796,5797.976878741862,5199.1168787412935,4500.446878741135,5813.4106376262935,5513.980637626359,4915.120637625791,4216.450637625632,-2182.28999999995,-2186.2499999999272,-2194.16999999994,-2203.40999999996
7,223.05000000000047,-614.3673411155025,-2.754392921387587,337.8517,738.2954999999988,32.919999999999995,10,102.07,6358.140000000014,6051.930000000168,5439.5099999997765,4725.019999999437,-140.5704427430155,276.51564111550255,6160.858742743029,5854.648742743183,5242.228742742792,4527.738742742452,5884.343101627527,5578.133101627681,4965.71310162729,4251.22310162695,-352.10999999988417,-354.92999999989115,-360.56999999989057,-367.1499999998923
8,223.05000000000047,-614.3673411155025,-2.754392921387587,270.4932,738.2954999999988,32.919999999999995,7,81.72,3879.0999999996275,3633.9399999998277,3143.6199999991804,2571.579999999143,-112.5444947678968,343.87414111550254,3721.151294767524,3475.9912947677244,2985.671294767077,2413.63129476704,3377.2771536520218,3132.117153652222,2641.7971536515747,2069.7571536515375,-8.529999999853317,-27.33999999985099,-64.95999999990454,-108.84999999991851
9,223.05000000000047,-614.3673411155025,-2.754392921387587,270.4932,738.2954999999988,32.919999999999995,7,81.72,3879.0999999996275,3633.9399999998277,3143.6199999991804,2571.579999999143,-112.5444947678968,343.87414111550254,3721.151294767524,3475.9912947677244,2985.671294767077,2413.63129476704,3377.2771536520218,3132.117153652222,2641.7971536515747,2069.7571536515375,-8.529999999853317,-27.33999999985099,-64.95999999990454,-108.84999999991851
