threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,49.35999999999994,466,9.440842787682344,164.86240000000103,164.86240000000103,4.8,519,49.35999999999994,-6.111804395914078e-10,-9872.00000003961,-29616.000000002707,-54295.999999984546,232.99999999999997,-630.862400000001,-397.8624000006122,-397.8624000006122,-397.8624000006122,-397.8624000006122,232.99999999938882,232.99999999938882,232.99999999938882,232.99999999938882,0,0,0,0
1,49.35999999999994,466,9.440842787682344,46.96039999999999,164.86240000000103,4.8,6,14.060000000000002,112974.00000000186,110161.99999998137,104537.99999999814,97508,66.3691247974069,-512.9603999999999,112860.67047520446,110048.67047518397,104424.67047520074,97394.6704752026,113373.63087520446,110561.63087518397,104937.63087520073,97907.6308752026,-34411.999999998254,-34415.999999998254,-34423.999999998254,-34433.999999998254
2,49.35999999999994,466,9.440842787682344,32.7988,164.86240000000103,4.8,2,9.82,10963,8998.999999985099,5071,161,46.35453808752031,-498.7988,10883.84666191248,8919.846661897578,4991.84666191248,81.84666191247969,11382.64546191248,9418.645461897579,5490.64546191248,580.6454619124797,-9959.999999999767,-9983.999999999767,-10031.999999999767,-10091.999999999767
3,49.35999999999994,466,9.440842787682344,32.7988,164.86240000000103,4.8,2,9.82,10963,8998.999999985099,5071,161,46.35453808752031,-498.7988,10883.84666191248,8919.846661897578,4991.84666191248,81.84666191247969,11382.64546191248,9418.645461897579,5490.64546191248,580.6454619124797,-9959.999999999767,-9983.999999999767,-10031.999999999767,-10091.999999999767
4,49.35999999999994,466,9.440842787682344,32.7988,164.86240000000103,4.8,2,9.82,10963,8998.999999985099,5071,161,46.35453808752031,-498.7988,10883.84666191248,8919.846661897578,4991.84666191248,81.84666191247969,11382.64546191248,9418.645461897579,5490.64546191248,580.6454619124797,-9959.999999999767,-9983.999999999767,-10031.999999999767,-10091.999999999767
5,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
6,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
7,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
8,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
9,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
10,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
11,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
12,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
13,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
14,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
15,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
16,49.35999999999994,466,9.440842787682344,0,164.86240000000103,4.8,0,0,0,0,0,0,0,-466,0,0,0,0,466,466,466,466,33505.00000000396,33485.000000003725,33445.00000000396,33395.00000000396
