threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,228.75999999999974,-103.49083584851451,-0.45239917751580094,759.4832000000055,759.4832000000055,16.770000000000007,580,228.75999999999974,4.9112713895738125e-11,-1143.8000000022457,-3431.4000000019346,-5719.000000001646,-51.745417924257254,-655.992364151491,-707.7377820756991,-707.7377820756991,-707.7377820756991,-707.7377820756991,-51.74541792420814,-51.74541792420814,-51.74541792420814,-51.74541792420814,0,0,0,0
1,228.75999999999974,-103.49083584851451,-0.45239917751580094,379.6752000000001,759.4832000000055,16.770000000000007,74,114.36000000000006,5847.250000000058,5275.449999998789,4131.849999998813,2988.249999998894,-25.86818497035351,-276.18436415148557,5493.442984970412,4921.642984969143,3778.042984969166,2634.4429849692474,5769.627349121897,5197.827349120628,4054.2273491206515,2910.627349120733,-311.0200000000041,-314.32000000002154,-320.9200000000128,-327.5200000000332
2,228.75999999999974,-103.49083584851451,-0.45239917751580094,256.17119999999994,759.4832000000055,16.770000000000007,28,77.16000000000003,3744.640000000014,3358.8399999996764,2587.239999999467,1815.639999999432,-17.453560268559606,-152.68036415148543,3505.922360268574,3120.122360268236,2348.5223602680267,1576.9223602679915,3658.602724420059,3272.8027244197215,2501.202724419512,1729.602724419477,-311.0200000000041,-314.32000000002154,-320.9200000000128,-327.5200000000332
3,228.75999999999974,-103.49083584851451,-0.45239917751580094,233.16359999999997,759.4832000000055,16.770000000000007,20,70.22999999999999,4471.290000000852,4120.14000000013,3417.840000000433,2715.54000000027,-15.885997118467348,-129.67276415148547,4254.01239711932,3902.862397118598,3200.5623971189007,2498.2623971187377,4383.685161270805,4032.5351612700833,3330.235161270386,2627.935161270223,-13.46000000013737,-18.41000000014901,-28.31000000014319,-38.21000000013737
4,228.75999999999974,-103.49083584851451,-0.45239917751580094,130.1772,759.4832000000055,16.770000000000007,8,39.21,-3956.659999999567,-4152.709999999963,-4544.8099999999395,-4936.9099999998,-8.869285875197278,-26.686364151485492,-4077.9679141243696,-4274.017914124765,-4666.117914124742,-5058.217914124602,-4051.281549972884,-4247.33154997328,-4639.431549973257,-5031.531549973117,-13.46000000013737,-18.41000000014901,-28.31000000014319,-38.21000000013737
5,228.75999999999974,-103.49083584851451,-0.45239917751580094,138.3112,759.4832000000055,16.770000000000007,7,41.66,-6593.839999999502,-6802.140000000247,-7218.739999999991,-7635.339999999851,-9.423474867654132,-34.82036415148551,-6722.727725131847,-6931.027725132592,-7347.627725132336,-7764.227725132197,-6687.907360980362,-6896.207360981107,-7312.807360980851,-7729.407360980711,-311.0200000000041,-314.32000000002154,-320.9200000000128,-327.5200000000332
6,228.75999999999974,-103.49083584851451,-0.45239917751580094,94.9188,759.4832000000055,16.770000000000007,4,28.590000000000003,-2164.91999999946,-2307.869999999879,-2593.769999999553,-2879.6699999996927,-6.467046242588375,8.572035848514503,-2253.3717537568714,-2396.3217537572905,-2682.2217537569645,-2968.121753757104,-2261.943789605386,-2404.893789605805,-2690.793789605479,-2976.693789605619,-1323.0799999998417,-1341.3299999998417,-1377.829999999958,-1414.3299999998417
7,228.75999999999974,-103.49083584851451,-0.45239917751580094,101.69160000000001,759.4832000000055,16.770000000000007,4,30.630000000000003,-640.7599999993108,-793.9099999994505,-1100.2099999992643,-1406.5099999995437,-6.928493403654492,1.799235848514499,-735.5231065956564,-888.6731065957961,-1194.9731065956098,-1501.2731065958892,-737.3223424441709,-890.4723424443106,-1196.7723424441242,-1503.0723424444036,-802.1199999994133,-823.5699999994831,-866.4699999995064,-909.3699999994133
8,228.75999999999974,-103.49083584851451,-0.45239917751580094,33.034,759.4832000000055,16.770000000000007,1,9.950000000000001,1168.7700000000186,1119.0199999997858,1019.5199999997858,920.0199999997858,-2.25068590814111,70.45683584851452,1137.9866859081596,1088.2366859079268,988.7366859079269,889.2366859079269,1067.529850059645,1017.7798500594123,918.2798500594124,818.7798500594124,-19714.789999999688,-19721.93999999971,-19736.2399999997,-19750.539999999688
9,228.75999999999974,-103.49083584851451,-0.45239917751580094,33.034,759.4832000000055,16.770000000000007,1,9.950000000000001,1168.7700000000186,1119.0199999997858,1019.5199999997858,920.0199999997858,-2.25068590814111,70.45683584851452,1137.9866859081596,1088.2366859079268,988.7366859079269,889.2366859079269,1067.529850059645,1017.7798500594123,918.2798500594124,818.7798500594124,-19714.789999999688,-19721.93999999971,-19736.2399999997,-19750.539999999688
