threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,29.24,-61.42228370325315,-2.1006252976488766,116.66760000000002,116.66760000000002,3.63,46,29.24,-4.206412995699793e-11,-87.7199999999782,-233.9199999999912,-409.359999999866,-30.711141851626575,-55.24531629674687,-85.9564581484155,-85.9564581484155,-85.9564581484155,-85.9564581484155,-30.711141851668636,-30.711141851668636,-30.711141851668636,-30.711141851668636,0,0,0,0
1,29.24,-61.42228370325315,-2.1006252976488766,19.072200000000002,116.66760000000002,3.63,2,4.779999999999999,117.86999999999534,103.53000000002794,79.63000000006286,50.95000000012806,-5.020494461380815,42.35008370325315,103.81829446137615,89.47829446140875,65.57829446144368,36.89829446150887,61.46821075812301,47.1282107581556,23.228210758190528,-5.4517892417442795,37.289999999999964,37.289999999999964,37.289999999999964,37.289999999999964
2,29.24,-61.42228370325315,-2.1006252976488766,19.072200000000002,116.66760000000002,3.63,2,4.779999999999999,117.86999999999534,103.53000000002794,79.63000000006286,50.95000000012806,-5.020494461380815,42.35008370325315,103.81829446137615,89.47829446140875,65.57829446144368,36.89829446150887,61.46821075812301,47.1282107581556,23.228210758190528,-5.4517892417442795,37.289999999999964,37.289999999999964,37.289999999999964,37.289999999999964
3,29.24,-61.42228370325315,-2.1006252976488766,27.052200000000003,116.66760000000002,3.63,2,6.78,-360.28000000014435,-380.61999999999534,-414.5200000000186,-455.20000000006985,-7.121119759029692,34.370083703253144,-380.2110802411147,-400.5510802409657,-434.451080240989,-475.1310802410402,-414.58116394436786,-434.92116394421885,-468.82116394424213,-509.50116394429335,37.289999999999964,37.289999999999964,37.289999999999964,37.289999999999964
4,29.24,-61.42228370325315,-2.1006252976488766,0,116.66760000000002,3.63,0,0,0,0,0,0,0,61.42228370325315,0,0,0,0,-61.42228370325315,-61.42228370325315,-61.42228370325315,-61.42228370325315,-6301.809999999969,-6303.249999999985,-6305.64999999998,-6308.529999999984
5,29.24,-61.42228370325315,-2.1006252976488766,0,116.66760000000002,3.63,0,0,0,0,0,0,0,61.42228370325315,0,0,0,0,-61.42228370325315,-61.42228370325315,-61.42228370325315,-61.42228370325315,-6301.809999999969,-6303.249999999985,-6305.64999999998,-6308.529999999984
6,29.24,-61.42228370325315,-2.1006252976488766,0,116.66760000000002,3.63,0,0,0,0,0,0,0,61.42228370325315,0,0,0,0,-61.42228370325315,-61.42228370325315,-61.42228370325315,-61.42228370325315,-6301.809999999969,-6303.249999999985,-6305.64999999998,-6308.529999999984
7,29.24,-61.42228370325315,-2.1006252976488766,0,116.66760000000002,3.63,0,0,0,0,0,0,0,61.42228370325315,0,0,0,0,-61.42228370325315,-61.42228370325315,-61.42228370325315,-61.42228370325315,-6301.809999999969,-6303.249999999985,-6305.64999999998,-6308.529999999984
8,29.24,-61.42228370325315,-2.1006252976488766,0,116.66760000000002,3.63,0,0,0,0,0,0,0,61.42228370325315,0,0,0,0,-61.42228370325315,-61.42228370325315,-61.42228370325315,-61.42228370325315,-6301.809999999969,-6303.249999999985,-6305.64999999998,-6308.529999999984
9,29.24,-61.42228370325315,-2.1006252976488766,0,116.66760000000002,3.63,0,0,0,0,0,0,0,61.42228370325315,0,0,0,0,-61.42228370325315,-61.42228370325315,-61.42228370325315,-61.42228370325315,-6301.809999999969,-6303.249999999985,-6305.64999999998,-6308.529999999984
