threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,2.4799999999999986,-0.514364093576164,-0.2074048764420017,9.919999999999995,9.919999999999995,1,16,2.4799999999999986,2.7284841053187847e-12,-12.400000000008276,-39.68000000000097,-64.47999999999615,-0.257182046788082,-9.40563590642383,-9.662817953209185,-9.662817953209185,-9.662817953209185,-9.662817953209185,-0.2571820467853545,-0.2571820467853545,-0.2571820467853545,-0.2571820467853545,0,0,0,0
1,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
2,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
3,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
4,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
5,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
6,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
7,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
8,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
9,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
10,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
11,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
12,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
13,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
14,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
15,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
16,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
17,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
18,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
19,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
20,2.4799999999999986,-0.514364093576164,-0.2074048764420017,0,9.919999999999995,1,0,0,0,0,0,0,0,0.514364093576164,0,0,0,0,-0.514364093576164,-0.514364093576164,-0.514364093576164,-0.514364093576164,-94.17000000000053,-94.17000000000053,-94.17000000000053,-94.17000000000053
