threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.2,-0.8134921804537871,-4.067460902268936,0.8,0.8,0.05,4,0.2,0,-1.0000000000027285,-3.000000000001819,-5.000000000001819,-0.40674609022689356,0.013492180453787084,-0.3932539097731065,-0.3932539097731065,-0.3932539097731065,-0.3932539097731065,-0.40674609022689356,-0.40674609022689356,-0.40674609022689356,-0.40674609022689356,0,0,0,0
1,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
2,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
3,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
4,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
5,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
6,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
7,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
8,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
9,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
10,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
11,0.2,-0.8134921804537871,-4.067460902268936,0,0.8,0.05,0,0,0,0,0,0,0,0.8134921804537871,0,0,0,0,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,-0.8134921804537871,1.199999999999818,1.199999999999818,1.199999999999818,1.199999999999818
