threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,6.319999999999988,168959,26734.018987341824,12.842239999999986,12.842239999999986,2.5,107,6.319999999999988,4.2782630771398544e-9,-632.0000000009022,-1264.00000000195,-2527.999999990483,84479.5,-168971.84224,-84492.34223999572,-84492.34223999572,-84492.34223999572,-84492.34223999572,84479.50000000428,84479.50000000428,84479.50000000428,84479.50000000428,0,0,0,0
1,6.319999999999988,168959,26734.018987341824,3.048,12.842239999999986,2.5,1,1.5,6470.000000003725,6320,6170,5870.000000007451,20050.514240506367,-168962.048,-13583.56224050264,-13733.562240506366,-13883.562240506366,-14183.562240498915,155378.48575949736,155228.48575949363,155078.48575949363,154778.48575950108,-8163,-8163,-8163,-8163
2,6.319999999999988,168959,26734.018987341824,5.08,12.842239999999986,2.5,1,2.5,-70924,-71174.00000000745,-71424.00000000745,-71924,33417.52373417728,-168964.08,-104346.60373417728,-104596.60373418473,-104846.60373418473,-105346.60373417728,64617.47626582271,64367.47626581526,64117.47626581526,63617.47626582271,-36919,-37019,-37119,-37319
3,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
4,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
5,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
6,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
7,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
8,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
9,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
10,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
11,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
12,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
13,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
14,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
15,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
16,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
17,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
18,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
19,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
20,6.319999999999988,168959,26734.018987341824,0,12.842239999999986,2.5,0,0,0,0,0,0,0,-168959,0,0,0,0,168959,168959,168959,168959,-55843,-55993.000000003725,-56143.00000000745,-56443
