threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1.5600000000000003,0,0,6.255600000000001,6.255600000000001,0.29000000000000004,32,1.5600000000000003,-5.4569682106375694e-12,-18.71999999998843,-54.599999999998545,-90.4799999999641,0,-6.255600000000001,-6.255600000005458,-6.255600000005458,-6.255600000005458,-6.255600000005458,-5.4569682106375694e-12,-5.4569682106375694e-12,-5.4569682106375694e-12,-5.4569682106375694e-12,0,0,0,0
1,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
2,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
3,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
4,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
5,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
6,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
7,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
8,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
9,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
10,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
11,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
12,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
13,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
14,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
15,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
16,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
17,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
18,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
19,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
20,1.5600000000000003,0,0,0,6.255600000000001,0.29000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.34999999998738,149.34999999998738,149.34999999998738,149.34999999998738
