threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,7.639999999999998,-0.25421266705403833,-0.03327390930026681,13.828399999999997,13.828399999999997,1,37,7.639999999999998,-4.774847184307873e-12,-45.839999999962174,-129.87999999999897,-213.91999999996028,-0.12710633352701917,-13.574187332945959,-13.701293666477753,-13.701293666477753,-13.701293666477753,-13.701293666477753,-0.12710633353179368,-0.12710633353179368,-0.12710633353179368,-0.12710633353179368,0,0,0,0
1,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
2,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
3,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
4,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
5,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
6,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
7,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
8,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
9,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
10,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
11,7.639999999999998,-0.25421266705403833,-0.03327390930026681,0,13.828399999999997,1,0,0,0,0,0,0,0,0.25421266705403833,0,0,0,0,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-0.25421266705403833,-224.70999999999185,-224.82999999999197,-225.049999999992,-225.2699999999918
