threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,4,0,0,7.24,7.24,2,3,4,0,-16.000000000021828,-44.00000000002183,-76,0,-7.24,-7.24,-7.24,-7.24,-7.24,0,0,0,0,0,0,0,0
1,4,0,0,7.24,7.24,2,2,4,60,43.999999999970896,15.999999999970896,-16,0,-7.24,52.76,36.759999999970894,8.759999999970896,-23.240000000000002,60,43.999999999970896,15.999999999970896,-16,0,0,0,0
2,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
3,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
4,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
5,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
6,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
7,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
8,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
9,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
10,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
11,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
12,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
13,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
14,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
15,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
16,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
17,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
18,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
19,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
20,4,0,0,0,7.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000000007276,40.000000000007276,40.000000000007276,40.000000000007276
