threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,31.600000000000158,-4.681551010169591,-0.14815034842308758,101.75200000000065,101.75200000000065,1.3399999999999999,414,31.600000000000158,8.763909275575528e-12,-66.0354290767979,-198.10628723044795,-330.17714538449843,-2.3407755050847956,-97.07044898983106,-99.41122449490709,-99.41122449490709,-99.41122449490709,-99.41122449490709,-2.3407755050760244,-2.3407755050760244,-2.3407755050760244,-2.3407755050760244,0,0,0,0
1,31.600000000000158,-4.681551010169591,-0.14815034842308758,20.382600000000004,101.75200000000065,1.3399999999999999,6,6.33,554.6797435262837,541.4727236108015,515.0586837798367,488.6446439488115,-0.4688958527590722,-15.701048989830412,534.7660393790427,521.5590194635605,495.1449796325957,468.73093980157057,550.4670883688731,537.2600684533909,510.84602862242616,484.43198879140095,25.157276618336873,25.136329676939454,25.09443579414477,25.052541911349767
2,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
3,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
4,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
5,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
6,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
7,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
8,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
9,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
10,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
11,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
12,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
13,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
14,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
15,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
16,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
17,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
18,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
19,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
20,31.600000000000158,-4.681551010169591,-0.14815034842308758,0,101.75200000000065,1.3399999999999999,0,0,0,0,0,0,0,4.681551010169591,0,0,0,0,-4.681551010169591,-4.681551010169591,-4.681551010169591,-4.681551010169591,842.6535585362399,842.6535585362399,842.6535585362399,842.6535585362399
