threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.62,0,0,2.0026,2.0026,0.31000000000000005,8,0.62,-1.644224214141983e-14,-15.80424830499368,-47.44296336297239,-79.0514599729592,0,-2.0026,-2.0026000000000166,-2.0026000000000166,-2.0026000000000166,-2.0026000000000166,-1.6431300764452317e-14,-1.6431300764452317e-14,-1.6431300764452317e-14,-1.6431300764452317e-14,0,0,0,0
1,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
2,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
3,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
4,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
5,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
6,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
7,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
8,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
9,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
10,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
11,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
12,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
13,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
14,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
15,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
16,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
17,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
18,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
19,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
20,0.62,0,0,0,2.0026,0.31000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.99853406015427,-206.99853406015427,-206.99853406015427,-206.99853406015427
