threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.005,0,0,0.02335,0.02335,0.0025,2,0.005,9.094947017729282e-13,-25,-74.99999999999909,-124.99999999999909,0,-0.02335,-0.023349999999090505,-0.023349999999090505,-0.023349999999090505,-0.023349999999090505,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,0,0,0,0
1,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
2,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
3,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
4,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
5,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
6,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
7,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
8,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
9,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
10,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
11,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
12,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
13,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
14,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
15,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
16,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
17,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
18,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
19,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
20,0.005,0,0,0,0.02335,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85
