threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,140610.48560518617,140610.48560518617,423.99810000000315,1642796,7.451232519883888e-9,140610.48560518617,140610.48560517872,7.450580596923828e-9
1,122112.03390600152,140610.48560518617,423.99810000000315,23692,59212.20559998677,140610.48560518617,62899.82830601475,77710.65729917142
2,113116.40394199923,140610.48560518617,423.99810000000315,13086,104871.70590003667,140610.48560518617,8244.698041962562,132365.78756322362
3,106306.28802200049,140610.48560518617,423.99810000000315,8918,112596.59769998823,140610.48560518617,-6290.309677987738,146900.7952831739
4,100556.81107799939,140610.48560518617,423.99810000000315,6656,113755.80960004806,140610.48560518617,-13198.99852204867,153809.48412723484
5,95443.54571400004,140610.48560518617,423.99810000000315,5273,139766.93059998506,140610.48560518617,-44323.384885985026,184933.8704911712
6,91464.68702199936,140610.48560518617,423.99810000000315,4315,169623.9451000234,140610.48560518617,-78159.25807802405,218769.74368321022
7,87750.0685940001,140610.48560518617,423.99810000000315,3656,161769.9042002404,140610.48560518617,-74019.83560624029,214630.32121142646
8,85137.76851000004,140610.48560518617,423.99810000000315,3172,186610.02130018442,140610.48560518617,-101472.25279018439,242082.73839537054
9,82368.27189000002,140610.48560518617,423.99810000000315,2802,185829.52120014,140610.48560518617,-103461.24931013999,244071.73491532617
10,78290.05043000002,140610.48560518617,423.99810000000315,2410,262172.98010013904,140610.48560518617,-183882.92967013904,324493.4152753252
11,76065.33707399992,140610.48560518617,423.99810000000315,2159,191036.9566002153,140610.48560518617,-114971.61952621536,255582.10513140153
12,73713.58917399983,140610.48560518617,423.99810000000315,1931,206157.09640018735,140610.48560518617,-132443.5072261875,273053.9928313737
13,71491.73789000013,140610.48560518617,423.99810000000315,1739,347885.296300089,140610.48560518617,-276393.5584100889,417004.0440152751
14,70541.34050199996,140610.48560518617,423.99810000000315,1615,233528.10660003894,140610.48560518617,-162986.766098039,303597.2517032252
15,67817.64566999993,140610.48560518617,423.99810000000315,1471,274933.03290035296,140610.48560518617,-207115.38723035302,347725.87283553916
16,65803.11782199993,140610.48560518617,423.99810000000315,1335,227343.47810043162,140610.48560518617,-161540.36027843168,302150.8458836179
17,65437.028130000064,140610.48560518617,423.99810000000315,1268,176984.25150016113,140610.48560518617,-111547.22337016107,252157.70897534722
18,62175.98867799999,140610.48560518617,423.99810000000315,1146,133176.13239997393,140610.48560518617,-71000.14372197393,211610.6293271601
19,60575.34316200003,140610.48560518617,423.99810000000315,1070,218603.64609963167,140610.48560518617,-158028.30293763164,298638.7885428178
20,60041.78161799987,140610.48560518617,423.99810000000315,1002,264841.4347002874,140610.48560518617,-204799.65308228755,345410.1386874737
