threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,31435.480599999748,31435.480599999748,421.7489999999998,12556,-3.5771548912895705e-10,31435.480599999748,31435.480600000104,-3.5652192309498787e-10
1,30769.637400000065,31435.480599999748,421.7489999999998,1965,1000.6161816409113,31435.480599999748,29769.021218359154,1666.459381640594
2,30451.636600000038,31435.480599999748,421.7489999999998,1315,1418.0436496444195,31435.480599999748,29033.592950355618,2401.88764964413
3,30071.52540000001,31435.480599999748,421.7489999999998,1045,4727.428789991958,31435.480599999748,25344.09661000805,6091.383989991697
4,29993.17260000002,31435.480599999748,421.7489999999998,886,5375.322406698437,31435.480599999748,24617.850193301583,6817.630406698165
5,29564.829799999996,31435.480599999748,421.7489999999998,738,11218.692382571293,31435.480599999748,18346.137417428705,13089.343182571043
6,29226.324999999957,31435.480599999748,421.7489999999998,661,13613.234362678666,31435.480599999748,15613.090637321291,15822.389962678457
7,28953.01859999997,31435.480599999748,421.7489999999998,601,9251.803324055,31435.480599999748,19701.21527594497,11734.265324054777
8,28708.74179999999,31435.480599999748,421.7489999999998,541,13770.60339692655,31435.480599999748,14938.138403073439,16497.342196926307
9,28914.05939999999,31435.480599999748,421.7489999999998,528,17735.019269636497,31435.480599999748,11179.040130363494,20256.440469636254
10,28766.665800000013,31435.480599999748,421.7489999999998,488,12381.29752296014,31435.480599999748,16385.368277039874,15050.112322959874
11,28536.893000000004,31435.480599999748,421.7489999999998,454,10422.375110660098,31435.480599999748,18114.517889339906,13320.962710659842
12,28266.785799999998,31435.480599999748,421.7489999999998,417,1041.753731833414,31435.480599999748,27225.032068166583,4210.448531833164
13,27984.076999999997,31435.480599999748,421.7489999999998,388,8537.248739245872,31435.480599999748,19446.828260754126,11988.652339245622
14,27660.3602,31435.480599999748,421.7489999999998,362,8915.56130406201,31435.480599999748,18744.798895937987,12690.68170406176
15,26843.06339999999,31435.480599999748,421.7489999999998,323,29045.512168013993,31435.480599999748,-2202.448768014001,33637.92936801375
16,26796.587799999983,31435.480599999748,421.7489999999998,307,34954.55847752275,31435.480599999748,-8157.970677522764,39593.451277522516
17,26553.379399999994,31435.480599999748,421.7489999999998,296,32349.423343248192,31435.480599999748,-5796.043943248198,37231.52454324794
18,26497.764999999985,31435.480599999748,421.7489999999998,290,21621.095134634266,31435.480599999748,4876.669865365719,26558.81073463403
19,26421.68939999999,31435.480599999748,421.7489999999998,285,20629.01522117057,31435.480599999748,5792.674178829417,25642.80642117033
20,25715.87420000001,31435.480599999748,421.7489999999998,258,29106.531852525553,31435.480599999748,-3390.657652525544,34826.13825252529
