threshold,totalFee,estimateFeeDirectLiquid,maximumLotsInWindow,totalLiquidOrder,totalLiquidProfit,oldCost,newCost,revenue
0,1619256.9868425855,1619256.9868425855,1216.148800000004,984277,7.767610199493902e-8,1619256.9868425855,1619256.9868425077,7.776543498039246e-8
1,1479883.6502521527,1619256.9868425855,1216.148800000004,57223,432982.29880006326,1619256.9868425855,1046901.3514520894,572355.6353904961
2,1421456.309363973,1619256.9868425855,1216.148800000004,34020,585309.6265000774,1619256.9868425855,836146.6828638957,783110.3039786898
3,1381405.1644680104,1619256.9868425855,1216.148800000004,24900,733015.1616000327,1619256.9868425855,648390.0028679777,970866.9839746078
4,1352161.6818359904,1619256.9868425855,1216.148800000004,20069,774045.2449000096,1619256.9868425855,578116.4369359808,1041140.5499066047
5,1322752.0421640002,1619256.9868425855,1216.148800000004,16435,818775.6683000651,1619256.9868425855,503976.3738639351,1115280.6129786503
6,1298150.6654759997,1619256.9868425855,1216.148800000004,14050,923170.8656999315,1619256.9868425855,374979.7997760682,1244277.1870665173
7,1277025.0896760053,1619256.9868425855,1216.148800000004,12397,870037.9983999557,1619256.9868425855,406987.0912760496,1212269.8955665359
8,1261561.9926839948,1619256.9868425855,1216.148800000004,11220,1107539.0731997988,1619256.9868425855,154022.919484196,1465234.0673583895
9,1248790.2963480013,1619256.9868425855,1216.148800000004,10254,1055944.311599969,1619256.9868425855,192845.9847480324,1426411.002094553
10,1216546.424939994,1619256.9868425855,1216.148800000004,8937,1241042.4617000825,1619256.9868425855,-24496.036760088522,1643753.023602674
11,1198119.413987999,1619256.9868425855,1216.148800000004,8146,1477845.038899911,1619256.9868425855,-279725.624911912,1898982.6117544975
12,1184055.4818119959,1619256.9868425855,1216.148800000004,7555,1322378.6212998144,1619256.9868425855,-138323.13948781858,1757580.126330404
13,1174142.4368519944,1619256.9868425855,1216.148800000004,7092,1190524.3736998588,1619256.9868425855,-16381.936847864417,1635638.92369045
14,1163378.2877640005,1619256.9868425855,1216.148800000004,6672,1144215.6260998473,1619256.9868425855,19162.661664153216,1600094.3251784323
15,1150040.8401719984,1619256.9868425855,1216.148800000004,6251,1358250.9387000385,1619256.9868425855,-208210.0985280401,1827467.0853706256
16,1138051.1732520005,1619256.9868425855,1216.148800000004,5886,1302162.6138001964,1619256.9868425855,-164111.44054819597,1783368.4273907815
17,1129002.870491998,1619256.9868425855,1216.148800000004,5608,1217943.851799971,1619256.9868425855,-88940.98130797292,1708197.9681505584
18,1121718.9170039983,1619256.9868425855,1216.148800000004,5368,1501377.084399879,1619256.9868425855,-379658.1673958807,1998915.1542384662
19,1107522.3108600006,1619256.9868425855,1216.148800000004,5071,1586563.0524998442,1619256.9868425855,-479040.7416398437,2098297.728482429
20,1078412.7005400017,1619256.9868425855,1216.148800000004,4582,1717635.24999998,1619256.9868425855,-639222.5494599782,2258479.5363025637
